date,BTC-EUR,BTC-USD,ETH-EUR,BTC-ETH,ETH-BTC,LTC-BTC
2017-12-19,14992.2900390625,17523.69921875,694.97998046875,23.34000015258789,0.046239998191595,0.019649999216198002
2017-12-20,13961.3603515625,16461.970703125,675.7999877929688,31.459999084472656,0.048369999974966,0.018519999459385
2017-12-21,13009.240234375,15632.1201171875,645.9400024414062,28.709999084472656,0.050540000200271,0.019619999453425
2017-12-22,11867.0595703125,13664.9697265625,568.9000244140625,23.959999084472656,0.047779999673366005,0.018840000033378
2017-12-23,12503.759765625,14396.4599609375,600.1400146484375,20.0,0.048129998147487,0.019190000370144
2017-12-24,11887.3095703125,13789.9501953125,582.6500244140625,22.0,0.048719998449087004,0.019440000876784002
2017-12-25,11733.8203125,13833.490234375,611.1099853515625,22.0,0.052149999886751,0.019109999760985
2017-12-26,13259.2802734375,15756.5595703125,628.1500244140625,19.969999313354492,0.047820001840591,0.017720000818371003
2017-12-27,13087.4501953125,15416.6396484375,627.75,22.979999542236328,0.047899998724460005,0.01706999912858
2017-12-28,12264.01953125,14398.7001953125,612.510009765625,19.420000076293945,0.04989000037312501,0.017279999330639003
2017-12-29,12247.6796875,14392.5703125,631.7899780273438,19.0,0.051079999655485,0.016690000891685
2017-12-30,10654.400390625,12531.51953125,593.1799926757812,19.010000228881836,0.055119998753070006,0.016750000417232
2017-12-31,11850.3095703125,13850.400390625,637.2000122070312,17.790000915527344,0.053520001471042,0.016370000317692
2018-01-01,11391.3896484375,13444.8798828125,640.5599975585938,19.790000915527344,0.05632000043988201,0.016669999808073002
2018-01-02,12319.7900390625,14754.1298828125,717.1900024414062,19.0,0.058279998600482004,0.016939999535679002
2018-01-03,12786.0400390625,15156.6201171875,793.8800048828125,15.649999618530273,0.062460001558065005,0.016060000285506002
2018-01-04,12725.41015625,15180.080078125,794.8699951171875,15.550000190734863,0.062259998172521,0.015610000118613002
2018-01-05,14183.2998046875,16954.779296875,807.8099975585938,17.0,0.056850001215934004,0.014290000312030001
2018-01-06,14338.580078125,17172.30078125,830.2999877929688,17.059999465942383,0.05872000008821401,0.016189999878406
2018-01-07,13490.259765625,16228.16015625,908.8300170898438,17.0,0.06898999959230401,0.016720000654459
2018-01-08,12618.1298828125,14976.169921875,957.27001953125,13.5,0.075740002095699,0.016939999535679002
